小米（MI）,小米 红米5 Plus 全面屏拍照手机 4GB+64GB 金色 全网通4G手机 双卡双待,5911914,1099.0,1049.00
小米（MI）,小米 红米6 3GB+32GB 巴厘蓝 全网通4G手机 双卡双待,7437536,729.0,729.00
华为（HUAWEI）,华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+128GB 极光色 全网通移动联通电信4G手机 双卡双待,6946641,3788.0,3888.00
华为（HUAWEI）,荣耀Play 全网通版 4GB+64GB 星云紫 移动联通电信4G全面屏游戏手机 双卡双待,7694053,1799.0,1799.00
小米（MI）,小米6X 全网通 6GB+64GB 曜石黑 移动联通电信4G手机 双卡双待 智能手机 拍照手机,7120002,1599.0,1599.00
Apple,Apple iPhone 8 (A1863) 256GB 深空灰色 移动联通电信4G手机,5089241,5999.0,5999.00
小米（MI）,小米 红米5 Plus 全面屏拍照手机 全网通版 3GB+32GB 浅蓝色 移动联通电信4G手机 双卡双待,5835283,799.0,849.00
华为（HUAWEI）,荣耀Play 全网通版 4GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,7694069,1799.0,1799.00
Apple,Apple iPhone 7 Plus (A1661) 128G 玫瑰金色 移动联通电信4G手机,3133853,5499.0,5599.00
华为（HUAWEI）,华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 亮黑色 全网通移动联通电信4G手机 双卡双待,6946605,3288.0,3388.00
Apple,Apple iPhone 8 (A1863) 256GB 金色 移动联通电信4G手机,5475610,5999.0,5999.00
小米（MI）,小米8SE 全面屏智能手机 6GB+64GB 金色 全网通4G 双卡双待,7437770,1899.0,1999.00
小米（MI）,小米8 全面屏游戏智能手机 6GB+64GB 白色 全网通4G 双卡双待,7652139,2599.0,2699.00
华为（HUAWEI）,荣耀9i 4GB+128GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,7694039,1689.0,1699.00
OPPO,OPPO A5 全面屏拍照手机 4GB+64GB 幻镜粉 全网通 移动联通电信4G 双卡双待手机,8261721,1499.0,1499.00
